uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AP,OUTRAS,IGNORADO,"< 9",M,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,5
AP,PNEUMONIA,HOSPITAL,"< 9",M,6
AP,SEPTICEMIA,DOMICILIO,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,8
AP,SEPTICEMIA,HOSPITAL,"< 9",M,11
AP,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,10
BA,OUTRAS,DOMICILIO,"< 9",M,19
BA,OUTRAS,HOSPITAL,"< 9",F,254
BA,OUTRAS,HOSPITAL,"< 9",I,7
BA,OUTRAS,HOSPITAL,"< 9",M,289
BA,OUTRAS,IGNORADO,"< 9",M,2
BA,OUTRAS,OUTRO,"< 9",F,2
BA,OUTRAS,OUTRO,"< 9",M,9
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,9
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,10
BA,OUTRAS,VIA_PUBLICA,"< 9",F,2
BA,OUTRAS,VIA_PUBLICA,"< 9",M,1
BA,COVID,HOSPITAL,"< 9",F,2
BA,COVID,HOSPITAL,"< 9",M,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INDETERMINADA,DOMICILIO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",M,3
BA,INDETERMINADA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,62
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,3
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,86
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
BA,PNEUMONIA,HOSPITAL,"< 9",F,35
BA,PNEUMONIA,HOSPITAL,"< 9",M,24
BA,PNEUMONIA,OUTRO,"< 9",M,1
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,SEPTICEMIA,DOMICILIO,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,95
BA,SEPTICEMIA,HOSPITAL,"< 9",M,111
BA,SEPTICEMIA,IGNORADO,"< 9",F,1
BA,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,SRAG,HOSPITAL,"< 9",F,5
BA,SRAG,HOSPITAL,"< 9",I,1
BA,SRAG,HOSPITAL,"< 9",M,6
CE,OUTRAS,DOMICILIO,"< 9",F,6
CE,OUTRAS,DOMICILIO,"< 9",M,14
CE,OUTRAS,HOSPITAL,"< 9",F,155
CE,OUTRAS,HOSPITAL,"< 9",I,8
CE,OUTRAS,HOSPITAL,"< 9",M,178
CE,OUTRAS,IGNORADO,"< 9",F,1
CE,OUTRAS,IGNORADO,"< 9",M,2
CE,OUTRAS,OUTRO,"< 9",F,4
CE,OUTRAS,OUTRO,"< 9",M,4
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
CE,OUTRAS,VIA_PUBLICA,"< 9",F,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,2
CE,COVID,HOSPITAL,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,2
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,16
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,15
CE,PNEUMONIA,DOMICILIO,"< 9",F,1
CE,PNEUMONIA,DOMICILIO,"< 9",M,2
CE,PNEUMONIA,HOSPITAL,"< 9",F,14
CE,PNEUMONIA,HOSPITAL,"< 9",M,29
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,55
CE,SEPTICEMIA,HOSPITAL,"< 9",I,1
CE,SEPTICEMIA,HOSPITAL,"< 9",M,58
CE,SEPTICEMIA,IGNORADO,"< 9",M,1
CE,SEPTICEMIA,OUTRO,"< 9",F,1
CE,SEPTICEMIA,OUTRO,"< 9",M,2
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,SRAG,HOSPITAL,"< 9",F,3
DF,OUTRAS,DOMICILIO,"< 9",F,2
DF,OUTRAS,DOMICILIO,"< 9",M,1
DF,OUTRAS,HOSPITAL,"< 9",F,65
DF,OUTRAS,HOSPITAL,"< 9",I,1
DF,OUTRAS,HOSPITAL,"< 9",M,57
DF,OUTRAS,IGNORADO,"< 9",F,4
DF,OUTRAS,IGNORADO,"< 9",M,3
DF,OUTRAS,OUTRO,"< 9",M,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,OUTRAS,VIA_PUBLICA,"< 9",F,1
DF,OUTRAS,VIA_PUBLICA,"< 9",M,1
DF,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INDETERMINADA,OUTRO,"< 9",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,15
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,PNEUMONIA,HOSPITAL,"< 9",F,13
DF,PNEUMONIA,HOSPITAL,"< 9",M,8
DF,PNEUMONIA,OUTRO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,32
DF,SEPTICEMIA,HOSPITAL,"< 9",M,34
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
DF,SRAG,HOSPITAL,"< 9",F,2
DF,SRAG,HOSPITAL,"< 9",M,5
DF,SRAG,OUTRO,"< 9",M,1
ES,OUTRAS,DOMICILIO,"< 9",F,1
ES,OUTRAS,DOMICILIO,"< 9",M,5
ES,OUTRAS,HOSPITAL,"< 9",F,51
ES,OUTRAS,HOSPITAL,"< 9",M,77
ES,OUTRAS,OUTRO,"< 9",F,1
ES,OUTRAS,OUTRO,"< 9",M,1
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,COVID,HOSPITAL,"< 9",F,1
ES,COVID,HOSPITAL,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
ES,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,14
ES,PNEUMONIA,HOSPITAL,"< 9",M,18
ES,PNEUMONIA,OUTRO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,40
ES,SEPTICEMIA,HOSPITAL,"< 9",M,39
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,2
GO,OUTRAS,DOMICILIO,"< 9",F,5
GO,OUTRAS,DOMICILIO,"< 9",M,4
GO,OUTRAS,HOSPITAL,"< 9",F,58
GO,OUTRAS,HOSPITAL,"< 9",M,81
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,1
GO,OUTRAS,OUTRO,"< 9",F,1
GO,OUTRAS,OUTRO,"< 9",M,5
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,11
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,13
GO,OUTRAS,VIA_PUBLICA,"< 9",M,1
GO,COVID,HOSPITAL,"< 9",F,3
GO,COVID,HOSPITAL,"< 9",M,3
GO,INDETERMINADA,HOSPITAL,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,31
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,1
GO,PNEUMONIA,DOMICILIO,"< 9",M,2
GO,PNEUMONIA,HOSPITAL,"< 9",F,8
GO,PNEUMONIA,HOSPITAL,"< 9",M,20
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,IGNORADO,"< 9",M,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
GO,SEPTICEMIA,HOSPITAL,"< 9",F,36
GO,SEPTICEMIA,HOSPITAL,"< 9",M,51
GO,SEPTICEMIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
GO,SRAG,HOSPITAL,"< 9",F,1
GO,SRAG,HOSPITAL,"< 9",M,2
GO,SRAG,OUTRO,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",F,1
MA,OUTRAS,DOMICILIO,"< 9",F,5
MA,OUTRAS,DOMICILIO,"< 9",M,7
MA,OUTRAS,HOSPITAL,"< 9",F,84
MA,OUTRAS,HOSPITAL,"< 9",I,2
MA,OUTRAS,HOSPITAL,"< 9",M,109
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,OUTRO,"< 9",F,6
MA,OUTRAS,OUTRO,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,COVID,HOSPITAL,"< 9",F,1
MA,INDETERMINADA,HOSPITAL,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,AMBULANCIA,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,15
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,AMBULANCIA,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,1
MA,PNEUMONIA,HOSPITAL,"< 9",F,11
MA,PNEUMONIA,HOSPITAL,"< 9",M,10
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,28
MA,SEPTICEMIA,HOSPITAL,"< 9",I,1
MA,SEPTICEMIA,HOSPITAL,"< 9",M,28
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,2
MA,SRAG,HOSPITAL,"< 9",M,2
MG,OUTRAS,DOMICILIO,"< 9",F,15
MG,OUTRAS,DOMICILIO,"< 9",M,19
MG,OUTRAS,HOSPITAL,"< 9",F,255
MG,OUTRAS,HOSPITAL,"< 9",I,4
MG,OUTRAS,HOSPITAL,"< 9",M,331
MG,OUTRAS,IGNORADO,"< 9",F,2
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,4
MG,OUTRAS,OUTRO,"< 9",F,2
MG,OUTRAS,OUTRO,"< 9",M,4
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,8
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,15
MG,OUTRAS,VIA_PUBLICA,"< 9",M,2
MG,COVID,HOSPITAL,"< 9",F,2
MG,COVID,HOSPITAL,"< 9",M,4
MG,INDETERMINADA,DOMICILIO,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",F,2
MG,INDETERMINADA,HOSPITAL,"< 9",M,3
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,58
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,64
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",M,3
MG,PNEUMONIA,HOSPITAL,"< 9",F,34
MG,PNEUMONIA,HOSPITAL,"< 9",M,49
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,SEPTICEMIA,HOSPITAL,"< 9",F,148
MG,SEPTICEMIA,HOSPITAL,"< 9",I,1
MG,SEPTICEMIA,HOSPITAL,"< 9",M,162
MG,SEPTICEMIA,IGNORADO,"< 9",F,1
MG,SEPTICEMIA,IGNORADO,"< 9",M,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MG,SRAG,HOSPITAL,"< 9",F,4
MG,SRAG,HOSPITAL,"< 9",M,3
MS,OUTRAS,DOMICILIO,"< 9",F,9
MS,OUTRAS,DOMICILIO,"< 9",M,8
MS,OUTRAS,HOSPITAL,"< 9",F,86
MS,OUTRAS,HOSPITAL,"< 9",M,94
MS,OUTRAS,IGNORADO,"< 9",M,1
MS,OUTRAS,OUTRO,"< 9",F,1
MS,COVID,HOSPITAL,"< 9",M,1
MS,INDETERMINADA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,1
MS,PNEUMONIA,HOSPITAL,"< 9",F,10
MS,PNEUMONIA,HOSPITAL,"< 9",M,3
MS,SEPTICEMIA,HOSPITAL,"< 9",F,17
MS,SEPTICEMIA,HOSPITAL,"< 9",M,30
MS,SEPTICEMIA,OUTRO,"< 9",M,1
MS,SRAG,HOSPITAL,"< 9",F,2
MS,SRAG,HOSPITAL,"< 9",M,1
MT,OUTRAS,DOMICILIO,"< 9",F,2
MT,OUTRAS,DOMICILIO,"< 9",M,7
MT,OUTRAS,HOSPITAL,"< 9",F,34
MT,OUTRAS,HOSPITAL,"< 9",M,40
MT,OUTRAS,IGNORADO,"< 9",F,10
MT,OUTRAS,IGNORADO,"< 9",M,13
MT,OUTRAS,OUTRO,"< 9",F,3
MT,OUTRAS,OUTRO,"< 9",M,3
MT,OUTRAS,VIA_PUBLICA,"< 9",M,5
MT,COVID,HOSPITAL,"< 9",F,1
MT,INDETERMINADA,DOMICILIO,"< 9",M,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,13
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,6
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",I,1
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,5
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,3
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MT,PNEUMONIA,HOSPITAL,"< 9",F,6
MT,PNEUMONIA,HOSPITAL,"< 9",M,11
MT,PNEUMONIA,IGNORADO,"< 9",F,6
MT,PNEUMONIA,IGNORADO,"< 9",M,3
MT,SEPTICEMIA,HOSPITAL,"< 9",F,22
MT,SEPTICEMIA,HOSPITAL,"< 9",M,19
MT,SEPTICEMIA,IGNORADO,"< 9",F,12
MT,SEPTICEMIA,IGNORADO,"< 9",M,16
MT,SEPTICEMIA,OUTRO,"< 9",M,2
MT,SRAG,HOSPITAL,"< 9",F,1
PA,OUTRAS,DOMICILIO,"< 9",F,9
PA,OUTRAS,DOMICILIO,"< 9",I,1
PA,OUTRAS,DOMICILIO,"< 9",M,15
PA,OUTRAS,HOSPITAL,"< 9",F,115
PA,OUTRAS,HOSPITAL,"< 9",I,6
PA,OUTRAS,HOSPITAL,"< 9",M,131
PA,OUTRAS,OUTRO,"< 9",F,1
PA,OUTRAS,OUTRO,"< 9",M,5
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
PA,OUTRAS,VIA_PUBLICA,"< 9",F,2
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,COVID,HOSPITAL,"< 9",F,2
PA,COVID,HOSPITAL,"< 9",M,3
PA,INDETERMINADA,DOMICILIO,"< 9",M,2
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,43
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
PA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
PA,PNEUMONIA,DOMICILIO,"< 9",F,2
PA,PNEUMONIA,DOMICILIO,"< 9",M,1
PA,PNEUMONIA,HOSPITAL,"< 9",F,22
PA,PNEUMONIA,HOSPITAL,"< 9",M,30
PA,PNEUMONIA,OUTRO,"< 9",M,2
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
PA,SEPTICEMIA,HOSPITAL,"< 9",F,37
PA,SEPTICEMIA,HOSPITAL,"< 9",M,46
PA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,SRAG,HOSPITAL,"< 9",F,2
PB,OUTRAS,DOMICILIO,"< 9",F,11
PB,OUTRAS,DOMICILIO,"< 9",M,4
PB,OUTRAS,HOSPITAL,"< 9",F,54
PB,OUTRAS,HOSPITAL,"< 9",M,84
PB,OUTRAS,OUTRO,"< 9",F,3
PB,OUTRAS,OUTRO,"< 9",M,1
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
PB,INDETERMINADA,DOMICILIO,"< 9",F,2
PB,INDETERMINADA,HOSPITAL,"< 9",F,1
PB,INDETERMINADA,HOSPITAL,"< 9",M,2
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
PB,PNEUMONIA,DOMICILIO,"< 9",F,2
PB,PNEUMONIA,DOMICILIO,"< 9",M,1
PB,PNEUMONIA,HOSPITAL,"< 9",F,22
PB,PNEUMONIA,HOSPITAL,"< 9",M,25
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,SEPTICEMIA,HOSPITAL,"< 9",F,40
PB,SEPTICEMIA,HOSPITAL,"< 9",M,42
PB,SEPTICEMIA,IGNORADO,"< 9",F,1
PB,SEPTICEMIA,OUTRO,"< 9",F,1
PB,SRAG,HOSPITAL,"< 9",M,2
PB,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PE,OUTRAS,DOMICILIO,"< 9",F,5
PE,OUTRAS,DOMICILIO,"< 9",M,10
PE,OUTRAS,HOSPITAL,"< 9",F,225
PE,OUTRAS,HOSPITAL,"< 9",I,9
PE,OUTRAS,HOSPITAL,"< 9",M,291
PE,OUTRAS,IGNORADO,"< 9",F,1
PE,OUTRAS,IGNORADO,"< 9",M,3
PE,OUTRAS,OUTRO,"< 9",F,5
PE,OUTRAS,OUTRO,"< 9",I,1
PE,OUTRAS,OUTRO,"< 9",M,4
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
